,id,name
168,500df81d-c4fd-4e05-b690-a505d20e1fdb,Wald
169,54a60768-3e19-4d92-8f08-b4087b7f5f90,Radservice Station
170,f1755449-3894-4dd6-b82b-be36937ca183,Literaturmuseum
171,c7264599-6de5-3bc4-abd0-b5f5eafe913f,MTB-Tour
172,27771a6d-3260-4c02-ae2a-a165250c703a,Wanderverein
173,89bec6d1-71fc-41ee-b048-e217f993955c,Kutschfahrten-Anbieter
174,483d91a0-c110-4216-bf6a-6a5a49e3d9c9,Museum
175,fe08a52e-9e42-4526-9796-ec1f5736fa80,Spezialunterkunft
176,92487dbe-5393-4654-8b8f-2186492e1b26,Kinder- und Familienmuseum
177,57fc5845-125b-469e-8b6b-34da9bc1cad1,Verkaufsstand
178,b21ab998-ea29-4de2-9b08-6b9047b8f970,Selbstbedienungsstation
179,e4af96eb-a54b-46a0-8794-0aced99ac6ee,Bekleidungsgeschäft
180,e5ee09fa-2494-4e13-90fb-173a22feaf8c,Kurpark
181,5629e926-3047-4033-9b0b-d6a66320c0ce,Catering
182,09b06841-605a-4b9a-b9ac-82b3dbf788b9,Getränkemarkt
183,f0e31d4f-c37d-49c2-b34a-923b29d00c29,Uhren und Schmuckgeschäft
184,eff6fa10-6db8-4f0d-aa96-bde5fef65bf2,Volleyballfeld
185,c21667d8-a4fc-4676-a4d2-4499440e075c,Kunsthandwerk
186,4e76b0df-513d-4ad7-9fb6-508fc8b72d39,Beautysalon
187,e22f3419-15c8-4231-8125-15e5dc9095c0,Brauerei
188,07f16586-4de1-4d85-9408-013ebdd52f00,Atelier
189,f07c4dcd-a482-437b-b58e-5fb394db3a40,Escape Room
190,0ab26de9-75b6-44c1-bf4a-4a013351bbf5,Bowling- / Kegelbahn
191,b440bad2-e677-41f9-b758-54f097755cf7,Weiher
192,f0bc0998-b89e-4e73-b7aa-687745a1ce1d,Strand
193,8c7ee960-29f1-42a6-8809-dbc819d60896,Oper
194,beed14db-294e-476d-9032-da2568788cd5,Zoo / Tierpark
195,b50c7b50-6d5e-4cc3-b352-da9c280f9ec9,Landschaftsschutzgebiet
196,590e8530-cb60-4097-bcdb-c23978ebaf7c,Gasthof
197,0d4fcb55-4559-4799-b8e8-6cef95919837,Fahrradverleih
